Disease,Symptoms
Urinary Incontinence,infertility; abnormal vaginal bleeding; yellow eyes; frequent infections; blurred vision; abdominal pain; cough; diarrhea
Benign Prostatic Hyperplasia (chronic),hoarseness; speech difficulty; gurgling; memory loss; depression
Prostatitis,localized pain; excessive thirst; hoarseness; red eye; blocked urine flow; menstrual irregularities; tinnitus
Erectile Dysfunction (acute),dry mouth; localized pain; weakness in limb; night sweats; urinary urgency; chest pain; balance problems; abdominal pain
Endometriosis (chronic),breast pain; nausea; bloating; wheezing; weight gain
Polycystic Ovary Syndrome variant 5,bruising; urinary frequency; floaters; halitosis; ear pain
Pelvic Inflammatory Disease #345,balance problems; urinary urgency; hearing loss; diarrhea; eye pain; bloody cough; generalized pain
Ovarian Cyst (chronic),pale skin; dizziness; bleeding; fatigue; lymphadenopathy; loss of consciousness
Ectopic Pregnancy variant 2,shortness of breath; urinary frequency; leg swelling
Preeclampsia variant 2,trauma history; recurrent infections; chills
Gestational Diabetes,joint pain; memory loss; sore throat; anxiety; sweating; yellow eyes; depression; vision changes
Pneumothorax (chronic),difficulty swallowing; recurrent infections; infertility; acne; runny nose; finger clubbing
Pulmonary Embolism,blurred vision; menstrual irregularities; chest pain; stridor; heat intolerance; sneezing; red eye; dry mouth
Deep Vein Thrombosis,pelvic pain; fever; loss of consciousness; ear discharge; ear pain; itching
Myocardial Infarction (acute),lymphadenopathy; frequent infections; dizziness; excessive thirst; abdominal pain; recurrent infections; hallucinations; runny nose
Angina,jaundice; sneezing; floaters; bloating; stiffness
Heart Failure (chronic),numbness; confusion; finger clubbing; pale skin; dry skin; pelvic pain; heat intolerance; menstrual irregularities
Hypertension (chronic),bloating; urinary urgency; burning urination; floaters; hair loss; sore throat; trauma history
Hypotension,recurrent infections; bleeding; heat intolerance; dry mouth; nausea; trauma history; weight loss; pale skin
Arrhythmia (acute),back pain; bruising; bloating
Atrial Fibrillation (acute),blocked urine flow; localized pain; weight gain; speech difficulty
Endocarditis,breast pain; dry skin; weight loss; excessive thirst; pelvic pain; vision changes
Pericarditis,numbness; finger clubbing; hallucinations; localized pain
Rheumatic Heart Disease,sore throat; depression; chills; numbness; redness; weight loss; runny nose; pale skin
Stroke variant 5,hair loss; weakness; burning urination; cough; numbness; weight loss
Transient Ischemic Attack (chronic),pelvic pain; depression; weakness in limb; edema
Migraine,breast lump; severe pain; numbness; breast pain; loss of consciousness; eye pain
Tension Headache variant 2,chills; nausea; insomnia; chest pain; frequent infections; postmenopausal bleeding
Cluster Headache (acute),swelling; palpitations; itching; hoarseness
Meningitis #368,redness; chills; bad breath; floaters; insomnia; gurgling; odor
Encephalitis,anxiety; speech difficulty; bloating; excessive thirst; rash; bad breath
Seizure Disorder,blood in urine; mood swings; abnormal vaginal bleeding; fatigue; postmenopausal bleeding; bloody cough; eye pain
Epilepsy,ear discharge; vision changes; abdominal pain; stridor; edema; abnormal vaginal bleeding; joint pain
Multiple Sclerosis,palpitations; red eye; stiffness; urinary urgency; vomiting
Parkinson's Disease (chronic),constipation; bad breath; lymphadenopathy; back pain; ear pain; stridor
Alzheimer's Disease,localized pain; urinary urgency; loss of consciousness; heat intolerance; acne; vision changes; chills
Peripheral Neuropathy,weight loss; halitosis; ear pain; lymphadenopathy; headache; insomnia; urinary urgency
Bell's Palsy variant 5,itching; dry skin; hallucinations; chills; jaundice; loss of consciousness; swelling
Guillain-Barre Syndrome (chronic),excessive thirst; rash; speech difficulty; trauma history; diarrhea
Osteoarthritis,abnormal vaginal bleeding; halitosis; breast lump; headache
Rheumatoid Arthritis variant 4,edema; loss of appetite; generalized pain; joint pain; weight gain
Gout,jaundice; joint pain; postmenopausal bleeding; trauma history; menstrual irregularities; numbness; weight gain; excessive thirst
Osteoporosis,rash; acne; breast pain; vaginal discharge; red eye; syncope; finger clubbing; frequent infections
Scoliosis,infertility; speech difficulty; gurgling
Herniated Disc,localized pain; blocked urine flow; floaters; numbness; jaundice
Sciatica,fever; bad breath; wheezing; vomiting; floaters; finger clubbing; easy bruising
Sprain/Strain,burning urination; dizziness; frequent infections; hallucinations; menstrual irregularities; ear discharge; vision changes; tingling
Fracture,jaundice; redness; urinary frequency; anxiety; excessive thirst
Systemic Lupus Erythematosus variant 5,insomnia; numbness; halitosis; urinary frequency
Psoriasis variant 2,postmenopausal bleeding; weakness; fatigue; diarrhea; acne; halitosis; floaters; shortness of breath
Eczema,sweating; eye pain; floaters
Acne variant 3,vision changes; sneezing; localized pain
Cellulitis #391,edema; bleeding; sweating; itching
Impetigo,edema; blood in urine; muscle pain
MRSA Infection (chronic),blocked urine flow; easy bruising; edema
Herpes Simplex,weakness; menstrual irregularities; acne; bruising
Herpes Zoster (Shingles) variant 2,generalized pain; abnormal vaginal bleeding; difficulty swallowing; vision changes; edema; vomiting; loss of consciousness; diarrhea
HIV Infection (chronic),ear discharge; balance problems; syncope
AIDS (acute),dry mouth; hoarseness; memory loss; severe pain
Mononucleosis (chronic),cough; generalized pain; urinary frequency; constipation; vision changes; localized pain
Lyme Disease (chronic),balance problems; syncope; difficulty swallowing; pelvic pain
Malaria (chronic),wheezing; lymphadenopathy; abdominal pain
Dengue,pale skin; blocked urine flow; bleeding
Typhoid Fever (acute),vaginal discharge; bad breath; abnormal vaginal bleeding; weight loss
Rabies (chronic),trauma history; weight gain; dizziness; confusion; insomnia; cough; heat intolerance; edema
Tetanus,eye pain; urinary urgency; bloody cough; ear discharge
Sepsis,gurgling; night sweats; breast lump; heat intolerance; severe pain; eye pain; ear discharge; vomiting
Anemia (acute),weight loss; abnormal vaginal bleeding; constipation
Iron Deficiency Anemia variant 5,wheezing; pelvic pain; urinary urgency; vision changes; pale skin; frequent infections; weight loss
Vitamin B12 Deficiency variant 1,itching; leg swelling; nausea; joint pain
Thalassemia (chronic),dry skin; bloody cough; cold intolerance; redness; bad breath; localized pain; chest pain
Hemophilia variant 5,bleeding; ear pain; memory loss; cold intolerance; speech difficulty; nasal congestion; gurgling; menstrual irregularities
Leukemia,leg swelling; weakness; halitosis; frequent infections; back pain
Lymphoma (acute),pelvic pain; bloating; back pain; tingling; finger clubbing; dry skin
Melanoma,confusion; cough; blood in urine
Breast Cancer #414,loss of appetite; pelvic pain; insomnia; breast pain; blood in urine
Lung Cancer variant 3,severe pain; sore throat; postmenopausal bleeding; hearing loss; odor; syncope; shortness of breath
Colon Cancer (chronic),dizziness; cough; stiffness; ear discharge; fatigue; headache; frequent infections
Prostate Cancer variant 4,weakness in limb; redness; acne; persistent cough; odor; breast pain
Cervical Cancer variant 5,generalized pain; infertility; nausea; finger clubbing; hallucinations; heat intolerance
Endometrial Cancer,itching; nausea; bruising; speech difficulty
Pancreatic Cancer,lymphadenopathy; night sweats; hallucinations; jaundice
Bladder Cancer variant 3,dry mouth; finger clubbing; postmenopausal bleeding; edema; severe pain; leg swelling
Skin Cancer variant 1,bruising; generalized pain; blurred vision
Thyroid Disease variant 4,back pain; headache; joint pain; vomiting; blurred vision; bloating; floaters; heat intolerance
Hyperthyroidism,headache; bruising; easy bruising; stridor; slow wound healing; sore throat; constipation
Hypothyroidism,loss of consciousness; weight loss; generalized pain
Graves' Disease,sweating; tingling; urinary urgency
Hashimoto's Thyroiditis,memory loss; halitosis; bloody cough; stiffness; chills; blocked urine flow; loss of appetite
Adrenal Insufficiency variant 4,bad breath; rash; wheezing; constipation; odor; chest pain; yellow eyes; lymphadenopathy
Cushing's Syndrome,rash; confusion; dizziness; stiffness; persistent cough; excessive thirst
Addison's Disease,syncope; tingling; floaters; speech difficulty; blood in urine; headache; insomnia; chills
Diabetes Mellitus Type 1 (acute),sweating; muscle pain; odor; abdominal pain; excessive thirst
Diabetes Mellitus Type 2 variant 4,bloody cough; bloating; difficulty swallowing; stridor; speech difficulty; fever; fatigue; cough
Hypoglycemia (chronic),fatigue; hearing loss; blood in urine; pelvic pain
Hyperglycemia (chronic),sore throat; palpitations; anxiety; recurrent infections
Obesity (chronic),stridor; edema; breast pain; hoarseness; jaundice; joint pain; bloody cough; pale skin
Metabolic Syndrome variant 3,syncope; excessive thirst; blocked urine flow; constipation; weakness in limb
Anxiety Disorder #437,weakness; sore throat; hoarseness; recurrent infections; memory loss; fatigue; infertility; dizziness
Major Depressive Disorder variant 4,redness; bad breath; bruising; jaundice; vomiting; anxiety
Bipolar Disorder (chronic),cough; blocked urine flow; sneezing; swelling; insomnia; halitosis
Schizophrenia (acute),stridor; hair loss; joint pain; tinnitus; blocked urine flow
PTSD (acute),tingling; odor; bad breath; sneezing; wheezing; mood swings; postmenopausal bleeding
Obsessive Compulsive Disorder variant 3,night sweats; fever; breast lump; chest pain
Insomnia (chronic),mood swings; urinary urgency; finger clubbing; localized pain
Substance Use Disorder (acute),yellow eyes; fever; postmenopausal bleeding
Alcohol Use Disorder,vaginal discharge; stridor; wheezing; bruising; abdominal pain; ear pain; confusion; back pain
Smoking Related Disorder (acute),numbness; headache; weight gain; persistent cough; itching; vomiting
Osteomyelitis (acute),difficulty swallowing; memory loss; breast lump
Rickets (chronic),blocked urine flow; floaters; gurgling; nausea; polyuria; diarrhea; weakness in limb; weight loss
Scurvy,menstrual irregularities; syncope; dry mouth; insomnia; headache; blurred vision; slow wound healing; loss of appetite
Dehydration,swelling; stiffness; pale skin; recurrent infections
Heat Stroke (chronic),generalized pain; stridor; jaundice; pale skin; red eye; rash
Hypothermia variant 1,syncope; sneezing; weight loss; bad breath
Influenza,abdominal pain; night sweats; chills; red eye; tinnitus; pale skin; breast lump
Common Cold (chronic),hallucinations; burning urination; odor
Pneumonia,red eye; bruising; tinnitus; stiffness
Bronchitis,vomiting; sweating; lymphadenopathy
Asthma (acute),bleeding; loss of consciousness; generalized pain; cold intolerance; fatigue; ear discharge; jaundice; weight gain
Chronic Obstructive Pulmonary Disease,persistent cough; joint pain; burning urination
Tuberculosis,speech difficulty; weakness; trauma history; bleeding; stiffness; sore throat
COVID-19 (acute) #460,infertility; red eye; depression
Sinusitis,anxiety; joint pain; diarrhea; tinnitus; abdominal pain; recurrent infections; frequent infections; weight loss
Allergic Rhinitis,cough; headache; bad breath
Otitis Media (acute),loss of appetite; sneezing; infertility; blocked urine flow
Pharyngitis (acute),acne; leg swelling; nausea; polyuria; dry mouth; stiffness; syncope; shortness of breath
Tonsillitis (chronic),sneezing; leg swelling; eye pain
Gastroenteritis,vomiting; lymphadenopathy; yellow eyes; constipation
Gastritis,tinnitus; weakness; chills
Peptic Ulcer Disease variant 2,blurred vision; bloody cough; menstrual irregularities; tingling; chest pain; vaginal discharge; severe pain
GERD (acute),sore throat; burning urination; ear discharge; runny nose; itching; red eye
Hepatitis A,palpitations; heat intolerance; hair loss; joint pain
Hepatitis B,swelling; tingling; breast lump; anxiety; balance problems; headache; vomiting; itching
Hepatitis C (acute),weight loss; breast pain; sneezing; leg swelling; recurrent infections; confusion
Fatty Liver,acne; recurrent infections; mood swings; frequent infections
Cirrhosis,vaginal discharge; halitosis; persistent cough
Pancreatitis,balance problems; mood swings; halitosis; numbness; urinary urgency
Gallstones (acute),weakness in limb; jaundice; pelvic pain; rash; runny nose; chest pain; pale skin
Appendicitis,hoarseness; chest pain; lymphadenopathy; bad breath; itching; headache; hearing loss
Irritable Bowel Syndrome,burning urination; odor; polyuria; difficulty swallowing; sweating; diarrhea; joint pain
Ulcerative Colitis (chronic),back pain; rash; hallucinations; frequent infections; stridor; headache; postmenopausal bleeding; hoarseness
Crohn's Disease variant 3,recurrent infections; pelvic pain; burning urination; sore throat; back pain; dry mouth; pale skin
Diverticulitis (acute),generalized pain; burning urination; dry mouth; chest pain; loss of consciousness; insomnia; weight gain; nasal congestion
Celiac Disease,mood swings; bruising; sore throat; numbness; palpitations; vomiting
Constipation (acute) #483,difficulty swallowing; cold intolerance; hoarseness
Diarrhea variant 4,confusion; balance problems; fever
Urinary Tract Infection (acute),heat intolerance; sneezing; lymphadenopathy; loss of appetite; urinary frequency
Pyelonephritis,sore throat; recurrent infections; jaundice; headache; shortness of breath; weight gain; dry mouth; loss of consciousness
Kidney Stones,bad breath; bloating; confusion; blood in urine
Acute Renal Failure,blocked urine flow; loss of consciousness; slow wound healing
Chronic Kidney Disease,dry mouth; diarrhea; urinary frequency; bleeding; jaundice; weight loss
Urinary Incontinence variant 5,wheezing; blurred vision; frequent infections; finger clubbing
Benign Prostatic Hyperplasia,edema; pale skin; sore throat; loss of consciousness; depression; localized pain
Prostatitis (chronic),halitosis; burning urination; hoarseness; easy bruising; dry mouth; sore throat; vaginal discharge
Erectile Dysfunction,wheezing; localized pain; swelling; loss of appetite; sore throat
Endometriosis variant 4,fever; generalized pain; excessive thirst; menstrual irregularities; odor; insomnia; palpitations; runny nose
Polycystic Ovary Syndrome variant 5,pale skin; lymphadenopathy; heat intolerance; hoarseness; finger clubbing; insomnia; abdominal pain
Pelvic Inflammatory Disease (chronic),weight gain; yellow eyes; gurgling; syncope; back pain; urinary urgency
Ovarian Cyst,chills; finger clubbing; vomiting; loss of consciousness; easy bruising
Ectopic Pregnancy,wheezing; yellow eyes; red eye; cough; stiffness; ear pain; joint pain; localized pain
Preeclampsia (acute),urinary urgency; muscle pain; halitosis
Gestational Diabetes,bloody cough; fever; weakness
Pneumothorax (chronic),eye pain; wheezing; breast pain; chills; breast lump; tingling
Pulmonary Embolism variant 5,urinary urgency; mood swings; vaginal discharge; diarrhea; balance problems; halitosis
Deep Vein Thrombosis,edema; postmenopausal bleeding; severe pain; hoarseness; sweating; red eye; syncope
Myocardial Infarction (chronic),swelling; shortness of breath; pale skin
Angina variant 3,abdominal pain; syncope; urinary frequency; chills; vaginal discharge
Heart Failure (chronic) #506,wheezing; syncope; anxiety; vomiting
Hypertension (chronic),dry skin; heat intolerance; balance problems; loss of consciousness; chest pain
Hypotension,edema; chills; cold intolerance; blurred vision; sweating; weakness
Arrhythmia (chronic),yellow eyes; ear pain; nasal congestion
Atrial Fibrillation,generalized pain; anxiety; bloody cough; wheezing; mood swings; stiffness
Endocarditis,redness; bleeding; back pain; diarrhea; weakness; menstrual irregularities; excessive thirst; anxiety
Pericarditis (chronic),night sweats; weakness; blood in urine; fever; vision changes; vomiting
Rheumatic Heart Disease (acute),slow wound healing; acne; dry skin; balance problems; sneezing
Stroke,chest pain; ear pain; chills
Transient Ischemic Attack (acute),swelling; nausea; hearing loss; bloating; bruising; halitosis; menstrual irregularities; numbness
Migraine,stiffness; vomiting; leg swelling; mood swings; pelvic pain; runny nose; blocked urine flow; vaginal discharge
Tension Headache variant 2,runny nose; red eye; fatigue; stiffness; eye pain
Cluster Headache,stiffness; hoarseness; rash; insomnia; headache; night sweats
Meningitis,easy bruising; diarrhea; nausea; urinary urgency; lymphadenopathy; mood swings; breast lump; abnormal vaginal bleeding
Encephalitis variant 1,difficulty swallowing; anxiety; headache; pelvic pain; memory loss; breast pain; hallucinations
Seizure Disorder (acute),hearing loss; excessive thirst; back pain; bleeding; nausea; menstrual irregularities; persistent cough; palpitations
Epilepsy (chronic),excessive thirst; memory loss; recurrent infections; trauma history; hair loss; weight gain; constipation
Multiple Sclerosis,sore throat; chills; ear discharge; lymphadenopathy; nasal congestion; loss of appetite
Parkinson's Disease (chronic),vision changes; nausea; severe pain
Alzheimer's Disease,sneezing; acne; weight gain; dry skin; stiffness; pale skin
Peripheral Neuropathy variant 5,lymphadenopathy; dizziness; vomiting; pelvic pain; depression; menstrual irregularities; anxiety; jaundice
Bell's Palsy (chronic),memory loss; floaters; cough; halitosis; generalized pain
Guillain-Barre Syndrome,dry mouth; memory loss; halitosis; breast pain; bloating; night sweats; weight gain
Osteoarthritis #529,dry mouth; polyuria; postmenopausal bleeding; diarrhea; abdominal pain; insomnia; bad breath
Rheumatoid Arthritis (chronic),halitosis; redness; hallucinations
Gout variant 3,breast lump; stiffness; pelvic pain; edema; numbness
Osteoporosis (chronic),cold intolerance; hearing loss; palpitations; sore throat; itching; infertility; weight gain
Scoliosis (acute),cold intolerance; severe pain; localized pain; infertility; palpitations; menstrual irregularities; yellow eyes
Herniated Disc (chronic),back pain; weakness; gurgling; hearing loss; rash; blocked urine flow; shortness of breath; urinary frequency
Sciatica (acute),bruising; itching; numbness; generalized pain; severe pain
Sprain/Strain variant 2,difficulty swallowing; weight loss; bleeding
Fracture (chronic),eye pain; bad breath; jaundice; rash; wheezing; breast pain; cold intolerance; leg swelling
Systemic Lupus Erythematosus,nasal congestion; eye pain; ear discharge
Psoriasis (chronic),stridor; numbness; postmenopausal bleeding; memory loss; blocked urine flow; headache
Eczema,frequent infections; sweating; dizziness; bruising; loss of consciousness; weakness in limb; infertility
Acne,bad breath; confusion; insomnia; chest pain
Cellulitis,nasal congestion; sneezing; headache; joint pain
Impetigo,floaters; weakness; blood in urine
MRSA Infection,sneezing; itching; blocked urine flow; tinnitus; weakness in limb; menstrual irregularities; finger clubbing; constipation
Herpes Simplex (chronic),chest pain; back pain; blocked urine flow; numbness; dry skin; red eye; sore throat; hearing loss
Herpes Zoster (Shingles) variant 3,anxiety; urinary urgency; sweating; stiffness; gurgling; localized pain; vomiting
HIV Infection (acute),chest pain; pelvic pain; weakness; sweating; excessive thirst
AIDS variant 3,hoarseness; leg swelling; trauma history; ear pain
Mononucleosis (acute),edema; breast lump; speech difficulty; shortness of breath; bad breath
Lyme Disease (acute),cough; hearing loss; loss of appetite; leg swelling; sore throat; dry skin; recurrent infections; hoarseness
Malaria (chronic),cold intolerance; lymphadenopathy; bruising; persistent cough; loss of consciousness
Dengue #552,itching; vision changes; vaginal discharge; urinary urgency; floaters; muscle pain; ear discharge; tinnitus
Typhoid Fever,trauma history; memory loss; hair loss; menstrual irregularities; polyuria
Rabies,fever; speech difficulty; slow wound healing
Tetanus (acute),depression; leg swelling; dry skin; cold intolerance; redness
Sepsis (acute),severe pain; abdominal pain; balance problems; dizziness; urinary frequency
Anemia (chronic),finger clubbing; jaundice; itching; stiffness; edema
Iron Deficiency Anemia variant 3,edema; bleeding; nasal congestion; night sweats; memory loss; postmenopausal bleeding; back pain; headache
Vitamin B12 Deficiency (chronic),infertility; slow wound healing; pale skin; severe pain; weight loss; bloody cough; chest pain
Thalassemia (acute),tingling; swelling; stiffness; breast pain; infertility; pelvic pain; stridor; palpitations
Hemophilia,loss of consciousness; excessive thirst; nasal congestion; urinary frequency; bloody cough; persistent cough; hoarseness
Leukemia variant 1,hallucinations; finger clubbing; halitosis; hearing loss; easy bruising; burning urination; weakness in limb; bleeding
Lymphoma variant 1,slow wound healing; depression; runny nose; swelling
Melanoma,hearing loss; loss of appetite; stridor
Breast Cancer,bloody cough; lymphadenopathy; depression; postmenopausal bleeding; runny nose
Lung Cancer (acute),yellow eyes; edema; vomiting; hoarseness; burning urination; gurgling; bruising; breast pain
Colon Cancer,blocked urine flow; stiffness; polyuria; swelling; tinnitus
Prostate Cancer,hearing loss; weakness; finger clubbing
Cervical Cancer (acute),polyuria; hair loss; syncope; hearing loss; nasal congestion; weakness in limb; constipation
Endometrial Cancer (chronic),vaginal discharge; confusion; bleeding; breast lump; weakness; night sweats; weight loss; sneezing
Pancreatic Cancer,breast lump; insomnia; floaters; weight gain; pale skin
Bladder Cancer variant 5,runny nose; bad breath; nausea; numbness; yellow eyes; acne; sore throat; pale skin
Skin Cancer,headache; fever; red eye; itching; ear pain; postmenopausal bleeding; bad breath; chills
Thyroid Disease (chronic),postmenopausal bleeding; sweating; numbness; halitosis; bad breath; vomiting; loss of appetite
Hyperthyroidism variant 4 #575,blurred vision; finger clubbing; vision changes; infertility; balance problems; pelvic pain; fever
Hypothyroidism,hallucinations; sneezing; wheezing
Graves' Disease (chronic),cough; jaundice; abnormal vaginal bleeding; confusion; nasal congestion
Hashimoto's Thyroiditis,trauma history; fever; acne
Adrenal Insufficiency variant 5,joint pain; hoarseness; localized pain; urinary urgency; bruising; loss of appetite; abdominal pain; pelvic pain
Cushing's Syndrome,dry mouth; bruising; chills; dizziness; fatigue; bleeding; swelling
Addison's Disease,wheezing; memory loss; dry skin; confusion; urinary frequency; blurred vision
Diabetes Mellitus Type 1,weight loss; urinary frequency; numbness; burning urination; abnormal vaginal bleeding; nasal congestion; chills; lymphadenopathy
Diabetes Mellitus Type 2,shortness of breath; difficulty swallowing; hoarseness; wheezing; loss of appetite; ear discharge
Hypoglycemia (chronic),shortness of breath; dry mouth; weakness in limb; chills; constipation; blood in urine; persistent cough; edema
Hyperglycemia (chronic),vaginal discharge; finger clubbing; muscle pain
Obesity,hair loss; weakness; dry skin; slow wound healing; abdominal pain; edema; shortness of breath
Metabolic Syndrome (acute),localized pain; bloating; breast pain
Anxiety Disorder (acute),vaginal discharge; constipation; anxiety; muscle pain; hearing loss; generalized pain
Major Depressive Disorder (acute),ear pain; localized pain; severe pain; acne
Bipolar Disorder (acute),bleeding; breast pain; slow wound healing
Schizophrenia variant 5,slow wound healing; memory loss; rash
PTSD variant 1,cold intolerance; generalized pain; weight loss; breast pain; abdominal pain; speech difficulty; bloody cough
Obsessive Compulsive Disorder (chronic),constipation; redness; bloating; halitosis; abdominal pain; tingling; sneezing
Insomnia,sneezing; bad breath; stiffness; memory loss; burning urination; loss of consciousness; breast lump
Substance Use Disorder,sweating; fatigue; anxiety; tingling; ear pain
Alcohol Use Disorder variant 2,balance problems; yellow eyes; back pain; fever; cough; easy bruising; vomiting; bloating
Smoking Related Disorder,easy bruising; tingling; night sweats; vomiting; bad breath; speech difficulty; syncope
Osteomyelitis #598,bloody cough; diarrhea; muscle pain; leg swelling; difficulty swallowing; floaters; swelling; stiffness
Rickets,weakness; diarrhea; sore throat; fatigue; swelling; blood in urine
Scurvy,pale skin; vision changes; stridor; bloating; diarrhea; postmenopausal bleeding; fatigue; cough
Dehydration,slow wound healing; leg swelling; chills; yellow eyes
Heat Stroke variant 5,eye pain; hair loss; rash; wheezing; vomiting
Hypothermia (chronic),urinary frequency; runny nose; bloating; infertility; floaters
Influenza (acute),pelvic pain; localized pain; balance problems; recurrent infections; breast pain
Common Cold (chronic),recurrent infections; chills; bloating; loss of appetite; generalized pain; bloody cough; headache; sweating
Pneumonia (acute),breast pain; dry mouth; balance problems
Bronchitis (acute),trauma history; eye pain; runny nose; heat intolerance; vaginal discharge; bad breath; burning urination
Asthma,chest pain; severe pain; wheezing; loss of appetite; balance problems; numbness; bloating
Chronic Obstructive Pulmonary Disease,eye pain; fatigue; dizziness; stiffness; edema; pale skin
Tuberculosis,loss of consciousness; trauma history; confusion
COVID-19,excessive thirst; bloody cough; insomnia; hoarseness; easy bruising; urinary frequency; memory loss; localized pain
Sinusitis variant 4,hair loss; diarrhea; blurred vision; slow wound healing; wheezing; joint pain; balance problems; urinary urgency
Allergic Rhinitis,trauma history; leg swelling; pelvic pain; night sweats; depression; heat intolerance; weakness; cough
Otitis Media,sweating; weakness in limb; hearing loss; tingling; chills; syncope; abnormal vaginal bleeding; numbness
Pharyngitis,back pain; yellow eyes; itching; weakness; weakness in limb
Tonsillitis variant 4,anxiety; leg swelling; vaginal discharge; infertility
Gastroenteritis variant 5,nausea; floaters; eye pain; recurrent infections
Gastritis (acute),red eye; vomiting; tingling; pale skin; constipation; gurgling; edema
Peptic Ulcer Disease variant 3,abdominal pain; infertility; breast lump
GERD,depression; anxiety; fever
Hepatitis A (acute) #621,frequent infections; cold intolerance; hair loss
Hepatitis B (chronic),bleeding; speech difficulty; depression; ear pain; edema; easy bruising; floaters; urinary frequency
Hepatitis C,weakness; hoarseness; floaters; yellow eyes; depression
Fatty Liver,dry skin; hearing loss; persistent cough; slow wound healing; blood in urine; red eye; bloating
Cirrhosis,postmenopausal bleeding; slow wound healing; hoarseness
Pancreatitis (acute),urinary frequency; burning urination; finger clubbing
Gallstones,anxiety; memory loss; blocked urine flow; generalized pain; abdominal pain
Appendicitis,chills; tingling; weight loss
Irritable Bowel Syndrome,gurgling; bloody cough; breast lump; abdominal pain; muscle pain; heat intolerance; sneezing; nasal congestion
Ulcerative Colitis,menstrual irregularities; ear discharge; floaters
Crohn's Disease (acute),persistent cough; urinary frequency; abdominal pain; abnormal vaginal bleeding
Diverticulitis variant 4,fatigue; finger clubbing; trauma history; dry mouth; constipation; odor
Celiac Disease,floaters; slow wound healing; dry mouth; weakness in limb; weight loss; tingling
Constipation (chronic),confusion; stridor; weakness
Diarrhea,blurred vision; polyuria; balance problems; speech difficulty; bad breath; sore throat; localized pain
Urinary Tract Infection,sore throat; wheezing; loss of appetite; abdominal pain; pelvic pain; slow wound healing; dry skin
Pyelonephritis variant 1,jaundice; weakness in limb; pelvic pain; breast pain; cold intolerance; localized pain; postmenopausal bleeding
Kidney Stones variant 4,itching; menstrual irregularities; urinary frequency; swelling
Acute Renal Failure (chronic),lymphadenopathy; weight loss; breast lump; cold intolerance; generalized pain; gurgling
Chronic Kidney Disease,bleeding; generalized pain; anxiety; pale skin; persistent cough; stridor; acne
Urinary Incontinence,sneezing; ear pain; hair loss; persistent cough
Benign Prostatic Hyperplasia (chronic),severe pain; urinary urgency; trauma history; loss of appetite; loss of consciousness
Prostatitis,sore throat; weakness in limb; mood swings; localized pain; finger clubbing; jaundice; loss of consciousness; bloating
Erectile Dysfunction (chronic) #644,depression; balance problems; polyuria; excessive thirst; easy bruising
Endometriosis,breast pain; trauma history; gurgling; hallucinations; redness; vision changes; lymphadenopathy; cough
Polycystic Ovary Syndrome,abdominal pain; chest pain; vaginal discharge; weight gain; weakness; easy bruising; headache
Pelvic Inflammatory Disease,rash; abnormal vaginal bleeding; halitosis; sweating
Ovarian Cyst variant 3,severe pain; muscle pain; weight gain; headache; localized pain
Ectopic Pregnancy (chronic),ear pain; abnormal vaginal bleeding; mood swings; palpitations; burning urination
Preeclampsia (acute),abdominal pain; heat intolerance; trauma history; stridor; depression; hoarseness
Gestational Diabetes,leg swelling; depression; pelvic pain; back pain; speech difficulty; halitosis; frequent infections; recurrent infections
Pneumothorax,redness; localized pain; easy bruising; weakness; vaginal discharge; pelvic pain; breast pain; halitosis
Pulmonary Embolism,pale skin; anxiety; weakness; cough; gurgling; muscle pain; sneezing; hair loss
Deep Vein Thrombosis (acute),hoarseness; finger clubbing; loss of consciousness; leg swelling; blocked urine flow; abnormal vaginal bleeding
Myocardial Infarction,mood swings; stridor; cold intolerance; sneezing; bad breath; bloody cough; nasal congestion
Angina variant 1,red eye; sore throat; severe pain; syncope; runny nose
Heart Failure (chronic),stridor; speech difficulty; constipation; vaginal discharge
Hypertension variant 4,vision changes; itching; depression
Hypotension,loss of appetite; sweating; polyuria; muscle pain; fever
Arrhythmia,tinnitus; loss of consciousness; night sweats; fatigue; jaundice
Atrial Fibrillation (chronic),weakness; bad breath; acne; heat intolerance; slow wound healing; bleeding; numbness
Endocarditis,anxiety; burning urination; syncope; halitosis; loss of consciousness; pale skin; confusion
Pericarditis,runny nose; memory loss; dizziness; halitosis
Rheumatic Heart Disease variant 4,sweating; breast pain; mood swings; hallucinations; infertility; vomiting; urinary urgency
Stroke (acute),ear discharge; slow wound healing; yellow eyes; blood in urine
Transient Ischemic Attack,ear discharge; abnormal vaginal bleeding; hair loss; confusion; hearing loss
Migraine #667,abnormal vaginal bleeding; edema; cough; bloating; easy bruising; urinary urgency; red eye
Tension Headache (chronic),leg swelling; heat intolerance; hair loss; joint pain
Cluster Headache (acute),severe pain; jaundice; vaginal discharge
Meningitis,pelvic pain; muscle pain; mood swings
Encephalitis,redness; chest pain; memory loss; odor; blocked urine flow; speech difficulty; recurrent infections; red eye
Seizure Disorder (acute),fatigue; swelling; edema; nasal congestion; jaundice; speech difficulty
Epilepsy,diarrhea; chills; odor
Multiple Sclerosis,hallucinations; fever; acne; dizziness; ear pain; easy bruising; bad breath
Parkinson's Disease variant 1,severe pain; vision changes; abdominal pain; ear pain
Alzheimer's Disease,generalized pain; stridor; bad breath; blurred vision; leg swelling; syncope; gurgling
